,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
199,1397317.0,0.9299999999999999,False,De Pijp - Rivierenbuurt,52.35781,4.90529,Entire home/apt,4.0,2.0,2.0,10.0,186.0,3.0,19.0,True,1.0,0.0,4.85,False,46.5,558.0,0.1,0.14,0.19,4.99,0.021917808219178082,1276.041095890411
200,1408035.0,0.67,False,De Aker - Nieuw Sloten,52.34255,4.80578,Shared room,1.0,1.0,3.0,4.0,50.0,3.0,3.0,True,0.0,0.0,4.199999999999999,False,50.0,150.0,0.05,0.12,0.16,2.99,0.0,250.0
201,1427610.0,0.67,False,Geuzenveld - Slotermeer,52.38277,4.80351,Entire home/apt,4.0,2.0,2.0,7.0,100.0,5.0,1125.0,True,0.0,0.0,5.0,False,25.0,500.0,0.05,0.14,0.15,4.99,0.01643835616438356,622.4794520547945
202,1447217.0,1.0,True,Bos en Lommer,52.37591,4.8479,Private room,2.0,1.0,1.0,2.0,51.0,4.0,100.0,True,0.0,4.0,4.72,True,25.5,204.0,0.06,0.07,0.14,2.99,0.336986301369863,317.1095890410959
203,1468473.0,1.0,False,Bos en Lommer,52.37563,4.85014,Entire home/apt,2.0,1.0,1.0,8.0,120.0,3.0,90.0,True,1.0,0.0,4.56,True,60.0,360.0,0.06,0.15,0.12,4.99,0.43561643835616437,575.7534246575342
204,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,775.0
205,1511360.0,0.6,False,De Baarsjes - Oud-West,52.3603,4.86692,Entire home/apt,2.0,1.0,1.0,9.0,155.0,2.0,14.0,True,0.0,1.0,4.72,False,77.5,310.0,0.08,0.12,0.2,4.99,0.29863013698630136,775.6164383561644
206,1514368.0,0.74,True,Centrum-Oost,52.361286,4.893265,Private room,4.0,1.0,2.0,14.0,282.0,3.0,30.0,True,1.0,2.0,4.8,True,70.5,846.0,0.13,0.07,0.29,4.99,0.21095890410958903,1175.150684931507
207,1517398.0,0.59,False,Westerpark,52.38459,4.88058,Entire home/apt,4.0,2.0,1.0,9.0,122.0,3.0,30.0,True,0.0,2.0,4.68,False,30.5,366.0,0.07,0.13,0.15,4.99,0.34794520547945207,550.3835616438356
208,1523635.0,0.53,False,Centrum-West,52.37004,4.88501,Private room,2.0,1.0,1.0,8.0,119.0,3.0,150.0,True,4.0,6.0,4.7,False,59.5,357.0,0.06,0.13,0.18,4.99,0.7342465753424657,632.082191780822
209,1533103.0,0.67,False,Westerpark,52.37943,4.87031,Entire home/apt,2.0,1.0,1.0,11.0,250.0,10.0,20.0,True,10.0,0.0,5.0,False,125.0,2500.0,0.03,0.2,0.23,4.99,0.18082191780821918,1234.6575342465753
210,1534317.0,1.0,True,Geuzenveld - Slotermeer,52.38399,4.83583,Private room,2.0,1.0,1.0,1.0,82.0,4.0,30.0,True,6.0,4.0,4.79,False,41.0,328.0,0.05,0.1,0.16,4.99,0.915068493150685,357.05479452054794
211,1566348.0,0.27,False,De Baarsjes - Oud-West,52.36992,4.85379,Entire home/apt,2.0,1.0,1.0,5.0,103.0,3.0,30.0,True,0.0,0.0,4.85,False,51.5,309.0,0.07,0.17,0.18,4.99,0.0,515.0
212,1568669.0,0.23,False,Watergraafsmeer,52.34336,4.9227,Entire home/apt,4.0,2.0,4.0,1.0,105.0,4.0,14.0,True,0.0,0.0,4.74,False,26.25,420.0,0.05,0.13,0.17,4.99,0.4547945205479452,557.917808219178
213,1570315.0,0.78,False,Centrum-West,52.37016,4.885,Private room,2.0,1.0,2.0,3.0,126.0,3.0,183.0,True,2.0,5.0,4.63,False,63.0,378.0,0.06,0.17,0.19,4.99,0.5863013698630137,669.3972602739726
214,1580186.0,0.77,False,Centrum-West,52.3798,4.88726,Entire home/apt,3.0,2.0,2.0,4.0,300.0,2.0,31.0,True,0.0,0.0,4.72,True,100.0,600.0,0.11,0.18,0.22,4.99,0.0,1500.0
215,1586071.0,1.0,False,Bos en Lommer,52.3825,4.85645,Private room,2.0,1.0,1.0,9.0,45.0,4.0,30.0,True,0.0,0.0,4.86,True,22.5,180.0,0.1,0.09,0.14,0.99,0.0,358.6986301369863
216,1601408.0,0.8200000000000001,False,De Pijp - Rivierenbuurt,52.3552,4.89161,Entire home/apt,4.0,2.0,2.0,17.0,436.0,4.0,1000.0,True,6.0,2.0,4.56,False,109.0,1744.0,0.12,0.1,0.26,10.99,0.6438356164383562,2069.986301369863
217,1603630.0,1.0,True,Centrum-West,52.37886,4.88723,Entire home/apt,2.0,1.0,2.0,15.0,300.0,4.0,1125.0,True,0.0,0.0,4.94,False,150.0,1200.0,0.14,0.22,0.25,4.99,0.6328767123287671,1517.123287671233
218,1605387.0,0.67,False,Oostelijk Havengebied - Indische Buurt,52.36333,4.93846,Entire home/apt,2.0,1.0,1.0,7.0,50.0,5.0,15.0,True,0.0,0.0,4.68,False,25.0,250.0,0.06,0.13,0.17,2.99,0.0,368.0
219,1620658.0,0.05,False,Oud-Oost,52.34933,4.91314,Entire home/apt,2.0,1.0,1.0,1.0,125.0,3.0,1125.0,True,0.0,0.0,4.81,False,62.5,375.0,0.06,0.18,0.17,4.99,0.0,507.5342465753425
220,1631878.0,0.04999999999999999,False,Zuid,52.36079,4.88298,Entire home/apt,4.0,2.0,3.0,16.0,475.0,5.0,1125.0,True,0.0,1.0,4.09,True,118.75,2375.0,0.07,0.08,0.2,10.99,0.4246575342465753,2375.0
221,1645011.0,0.45999999999999996,False,Centrum-Oost,52.36063,4.89241,Entire home/apt,4.0,2.0,3.0,13.0,397.0,3.0,1125.0,True,0.0,0.0,4.94,False,99.25,1191.0,0.13,0.2,0.3,4.99,0.00821917808219178,1964.4520547945206
222,1649932.0,0.72,False,Centrum-Oost,52.36307,4.89709,Entire home/apt,3.0,2.0,2.0,7.0,125.0,5.0,30.0,True,0.0,0.0,5.0,False,41.67,625.0,0.07,0.11,0.19,4.99,0.0,625.0
223,1657879.0,0.0,False,De Baarsjes - Oud-West,52.35811,4.85707,Entire home/apt,3.0,2.0,2.0,9.0,119.0,6.0,30.0,True,0.0,0.0,4.92,False,39.67,714.0,0.07,0.13,0.19,4.99,0.0,595.0
224,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,775.0
225,1662676.0,0.0,False,Centrum-West,52.37976,4.88293,Entire home/apt,2.0,1.0,2.0,3.0,100.0,15.0,30.0,False,0.0,0.0,4.85,False,50.0,1500.0,0.07,0.12,0.14,4.99,0.0,500.0
226,1681041.0,0.0,False,Zuid,52.35466,4.88464,Entire home/apt,6.0,3.0,4.0,9.0,200.0,7.0,300.0,True,0.0,0.0,5.0,False,33.33,1400.0,0.11,0.15,0.22,4.99,0.038356164383561646,1056.7397260273972
227,,,,,,,,,,,,,,,,,,,,,,,,,,0.09863013698630137,1100.0
228,1699370.0,0.87,True,De Aker - Nieuw Sloten,52.33466,4.78031,Entire home/apt,2.0,1.0,1.0,1.0,79.0,10.0,1120.0,True,0.0,0.0,4.8,False,39.5,790.0,0.05,0.12,0.13,4.99,0.8383561643835616,395.16438356164383
229,1708637.0,0.81,False,De Pijp - Rivierenbuurt,52.35428,4.90005,Private room,2.0,1.0,1.0,4.0,84.0,3.0,31.0,True,3.0,3.0,4.6,False,42.0,252.0,0.06,0.11,0.15,4.99,0.6109589041095891,446.4931506849315
